역명,X좌표,Y좌표,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
세종초등학교.세종사이버대학교앞,127.0733966913,37.5535248785,4,3,0,0,0,0,0,0,283,116,499,147,613,223,1319,275,1506,553,1355,674,1061,523,1053,469,1052,457,1077,547,1051,479,1071,503,1128,548,1365,574,1390,624,818,671,586,425,449,375,340,384,120,168
송림식당앞,127.0766299665,37.5368221134,0,0,0,0,0,0,0,0,0,0,0,0,148,55,264,101,320,265,136,309,122,146,124,121,153,129,98,156,102,160,128,196,159,195,132,327,120,443,105,493,63,261,42,289,62,263,32,156
송정동건영아파트,127.07122427530001,37.5549793867,137,490,48,152,0,0,0,0,0,0,84,35,514,189,1167,173,1366,317,796,232,505,256,505,269,600,363,638,449,535,532,520,661,568,842,693,691,673,863,587,1015,375,803,317,827,278,828,182,603
송정동서울숲아이파크,127.0694224197,37.55176497005,202,537,33,133,0,0,0,0,0,0,240,58,406,273,836,277,1002,411,700,299,504,353,588,338,589,525,565,634,630,664,691,1000,685,1137,680,971,856,1316,670,1460,521,1181,536,1119,572,1313,298,899
신동아아파트,127.001659385225,37.521049651625,0,0,0,0,0,0,0,0,0,0,0,0,96,53,213,235,215,270,140,153,97,159,123,142,87,130,123,131,93,200,117,136,84,168,137,359,102,634,47,166,48,130,34,96,33,53,15,22
신성시장,127.0879297616,37.5583189468,85,142,0,0,0,0,0,0,161,16,275,125,503,292,742,874,1272,862,939,700,848,618,872,647,1044,755,938,818,893,910,1068,1281,1198,1586,1241,1536,1224,1759,1151,1763,785,1299,634,1198,478,1188,253,804
신성시장앞,127.0876755037,37.5583163621,86,135,0,0,0,0,0,0,396,81,805,246,1673,527,3412,636,3963,1429,3019,1158,2399,1057,2217,930,2269,977,2238,885,1947,859,1843,992,1788,1089,1992,1111,2003,1258,1338,989,1200,659,832,519,498,432,234,179
신성시장입구,127.0880363444,37.55859858635,0,1,0,0,0,0,0,0,0,0,94,3,259,65,1174,204,886,250,699,254,571,212,577,268,570,280,478,222,443,310,573,364,487,423,536,384,537,429,401,472,235,293,217,249,186,289,52,181
신양초등학교앞,127.06871726513333,37.5346494557,109,133,1,14,0,0,0,0,267,13,231,41,347,131,1159,492,1648,645,1134,407,827,380,808,398,917,537,899,636,962,719,1089,721,1354,883,1549,904,1842,1121,1526,1093,1171,698,1069,610,993,523,399,356
신자초등학교앞,127.07491876840001,37.53060415865,9,520,0,22,0,0,0,0,308,0,564,44,1205,182,3189,372,3667,933,2216,511,1434,583,1302,695,1307,871,1508,1074,1399,1075,1324,1231,1666,1595,1720,1819,1590,2422,1267,2324,892,1557,755,1492,631,1401,248,1071
아차산역사거리,127.09137164904999,37.5506967383,0,0,0,0,0,0,0,0,0,0,0,0,273,165,557,306,490,489,469,461,437,369,427,482,467,530,466,509,468,555,546,746,505,952,589,750,689,903,488,853,414,689,287,561,271,559,108,375
어린이대공원앞,127.0770314953,37.5520458638,72,385,42,327,56,324,21,193,24,295,120,367,273,309,627,412,714,1100,644,988,647,902,697,833,1027,955,1209,1093,1189,1270,1463,1503,1565,1543,1746,1579,1572,2097,946,2012,769,1585,748,1539,592,1554,323,902
어린이대공원앞.세종대학교,127.07544,37.549752,99,72,21,42,18,18,14,18,9,8,46,120,50,231,181,337,194,1184,216,1000,231,955,481,961,725,863,615,977,635,828,741,666,830,667,1004,660,995,728,484,387,308,279,337,229,193,278,150,209
어린이대공원역3번출구,127.0751469149,37.5468045831,465,181,7,8,0,0,0,0,0,0,20,13,516,227,1268,560,2614,780,1154,422,665,445,711,500,845,418,1032,428,1153,463,1122,392,1378,404,1649,843,1788,1028,1698,666,1464,502,1390,490,1464,522,1001,277
어린이대공원후문,127.0905075507,37.5508666828,0,0,0,0,0,0,0,0,207,285,245,223,406,372,1681,716,1747,988,1248,930,877,799,762,857,1070,877,1271,988,1166,930,1387,1204,1688,1503,1791,1325,2088,1677,2034,1454,1570,1047,1408,962,1321,822,498,319
어린이대공원후문아차산역,127.08968167825,37.551981683950004,1266,2012,381,600,108,117,93,109,1928,413,3939,2314,4815,3312,8056,6171,12497,9514,8181,7743,6477,6820,6446,7060,7204,7075,7690,7242,8101,7056,8544,8374,9496,10022,10094,10083,10144,11943,8047,9115,6647,6632,5845,5867,4871,5401,2884,3111
어린이회관,127.07939815649999,37.5454421114,46,193,0,1,0,0,0,0,3,2,79,161,148,384,366,1297,352,2691,399,1231,273,893,303,1046,432,928,450,942,562,1042,631,1075,656,1215,513,1346,470,1805,399,1386,321,973,311,891,349,1049,127,522
영동대교북단,127.06096405275,37.53682855525,688,1297,200,400,57,165,61,151,98,345,340,773,1076,1084,1494,1352,1911,1974,1352,1568,1023,1226,903,1360,1109,1856,1197,2142,1373,2647,1522,3347,1757,3592,2073,4348,2286,5995,1810,4839,1678,3735,1785,4483,1730,4435,1202,2394
영동대교입구.성수사거리,127.064525855,37.5428255093,0,0,0,0,0,0,0,0,0,0,2,0,9,31,47,50,26,130,29,113,46,74,36,74,60,79,52,83,66,100,52,127,67,109,74,168,117,193,98,136,91,104,96,86,132,103,49,61
영화사입구,127.0941339584,37.5541559958,0,0,0,0,0,0,0,0,0,0,1,0,641,94,850,185,856,318,738,463,549,541,470,604,650,537,643,541,521,563,416,736,432,899,440,657,378,799,208,731,162,539,126,520,78,656,15,343
올림픽대교북단사거리,127.09344877474999,37.54339070825,103,341,5,28,0,0,0,0,86,5,82,35,694,270,2443,604,2484,1079,1480,795,1079,617,1007,605,1187,850,1339,1003,1076,980,1121,1287,1348,1849,1464,1571,1592,2219,1376,1564,957,1035,1055,961,1320,1074,340,631
용곡삼거리,127.0855950166,37.5682558761,39,226,10,42,10,52,3,37,7,27,200,197,144,67,394,65,269,128,184,114,205,146,190,166,204,172,187,163,192,190,190,303,154,310,178,384,213,550,219,509,159,473,168,412,105,399,93,286
용마사거리,127.08177527769999,37.562300361333335,58,23,1,0,0,0,0,0,177,100,612,62,599,107,1071,309,1152,783,1079,444,775,447,776,469,919,469,973,468,834,492,837,575,783,647,796,642,790,686,687,632,547,453,458,403,391,390,207,152
용마초등학교,127.081723671,37.5565422552,0,0,0,0,0,0,0,0,0,0,0,0,11,824,14,1336,52,1933,19,879,30,481,23,331,33,288,55,449,58,319,70,205,109,256,90,327,251,175,326,152,196,70,200,39,123,31,0,0
용암사입구,127.0862150741,37.56789199875,75,133,0,0,0,0,0,0,178,84,514,293,494,350,1029,678,1082,1229,1018,797,901,762,874,777,862,773,847,869,860,863,759,992,816,1344,788,1152,904,1482,813,1318,553,1078,472,896,400,881,215,528
우리들약국,127.0029452603,37.5796732784,0,0,0,0,0,0,0,0,0,0,39,0,380,56,894,66,790,143,517,162,355,174,358,185,340,165,343,203,277,193,236,313,293,411,292,319,260,368,200,375,137,247,91,283,82,194,32,97
워커힐아파트,127.1075883052,37.5500035243,0,0,0,0,0,0,0,0,0,0,3,0,51,94,213,140,318,272,211,157,158,106,161,124,141,162,166,158,154,194,145,273,216,312,208,291,174,288,93,294,61,239,46,196,25,238,4,104
워커힐아파트입구,127.10655525325,37.5479831025,0,0,0,0,0,0,0,0,0,0,0,0,25,36,131,31,216,70,128,67,107,40,62,52,104,48,88,57,96,64,93,53,119,102,120,78,150,81,120,54,84,45,46,28,73,26,28,36
워커힐팰리스,127.1096719072,37.5500133218,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,149,15,435,0,393,8,156,5,136,1,160,11,152,6,107,1,191,11,178,22,225,5,302,24,311,15,197,21,185,11,170,2,77
자양1파출소앞,127.0769071428,37.5367651642,1,4,0,0,0,0,0,0,0,0,0,0,256,67,772,285,752,358,478,295,279,190,255,178,217,156,248,190,201,202,194,190,200,197,208,175,236,264,154,230,104,166,96,128,68,127,30,71
자양4동주민센터앞,127.067497,37.533632,6,74,0,0,0,0,0,0,90,5,22,140,9,143,19,404,48,370,39,234,54,209,29,196,28,247,47,300,48,379,35,596,33,651,53,672,56,926,60,786,48,637,25,383,33,295,19,143
자양고교앞,127.0712657595,37.5344474771,13,170,0,14,0,0,0,0,36,54,159,106,734,196,1916,1183,1950,878,1301,544,863,581,720,511,900,682,819,904,872,950,972,1062,1159,1327,854,1476,804,1878,543,1833,529,1291,354,1159,495,1165,84,687
자양동잠실대교북단,127.08532855605,37.532537738550005,746,785,189,351,80,84,32,46,242,560,1221,1039,2220,1410,5387,2963,8290,4243,5298,2505,2969,2226,2811,2101,2936,2475,2834,2806,2770,2607,2892,3229,3919,3699,3453,5002,3906,6795,2513,4983,2277,3383,1830,3386,1717,3696,1282,1765
자양미소약국.자양골목시장,127.0770951431,37.532725169100004,34,348,0,0,0,0,0,0,763,54,917,149,1961,440,4724,874,6502,1687,3915,1386,2401,1129,2131,1216,2422,1418,2464,1604,2261,1811,2364,2136,2670,2736,2587,3024,2501,4144,2176,3632,1824,2616,1404,2499,1157,2235,434,1172
자양사거리,127.0822682615,37.536842041,146,187,77,87,42,85,47,30,85,85,385,181,415,244,691,360,1085,701,893,569,849,540,826,531,872,551,1006,749,1065,805,945,702,1003,834,1196,959,1209,1068,934,889,789,735,626,711,549,517,299,387
자양우성아파트앞,127.07340899615,37.5338710981,16,201,2,12,0,0,0,0,129,26,296,80,966,177,2978,351,3226,745,1573,497,1152,378,879,508,803,597,772,681,835,810,722,876,740,1096,766,1235,720,1921,436,1906,405,1180,307,1210,201,1083,82,617
자양종합복지관앞,127.075429514,37.5324649901,0,106,0,0,0,0,0,0,0,0,0,0,0,25,2,147,2,556,1,396,2,296,0,288,2,391,0,376,0,358,1,419,3,596,3,671,2,884,2,828,3,657,1,589,2,603,4,426
자양중학교앞,127.0761361038,37.5346629538,1,4,0,0,0,0,0,0,0,0,0,0,371,116,1110,321,1137,355,736,401,469,263,462,257,484,311,348,381,363,347,460,417,493,528,412,563,446,789,338,810,195,481,258,433,157,382,65,217
자양초등학교앞,127.07886624525,37.53768535815,52,155,12,76,2,44,4,18,31,74,480,157,355,372,898,348,1263,929,828,626,508,565,496,565,503,665,416,719,439,815,441,710,498,784,489,809,600,1076,422,898,326,685,248,524,239,569,159,411
장신대앞,127.1051798963,37.547584902850005,0,0,0,0,0,0,0,0,0,0,0,0,44,39,97,115,270,297,158,146,111,134,96,167,159,161,130,191,136,185,171,172,164,230,181,192,225,293,137,362,120,189,49,220,25,234,7,111
장안초등학교,127.07061915435,37.548636243000004,394,293,51,25,0,0,0,0,198,110,441,505,630,715,1204,991,1414,1274,1384,1237,1164,916,1178,839,1292,1021,1332,1027,1502,1040,1701,1359,1666,1320,1733,1507,2256,1674,1730,1454,1322,1282,1438,1238,1200,1197,847,805
정보도서관,127.1104622298,37.5502486719,0,0,0,0,0,0,0,0,0,0,39,0,121,31,740,139,725,465,587,605,485,344,527,320,516,315,560,340,692,374,729,308,901,302,966,246,1317,224,481,163,351,114,385,81,156,48,38,35
제일은행사거리,127.0747505569,37.5335505333,4,0,0,0,0,0,0,0,48,0,162,8,611,6,1134,19,1551,9,810,4,498,4,553,14,521,5,506,6,435,3,411,3,470,3,557,13,654,17,418,12,322,5,316,10,287,3,117,0
종로약국앞,127.0881058981,37.5575879581,0,0,0,0,0,0,0,0,0,0,0,0,6,30,50,105,160,232,73,229,91,151,118,212,127,216,143,264,133,302,130,502,134,578,139,378,105,593,103,500,92,409,73,334,40,339,2,65
종합의료복합단지,127.08333141335001,37.56413065395,42,137,18,30,8,55,2,19,22,12,51,111,35,113,69,257,97,335,92,218,105,166,111,200,120,207,125,263,93,240,115,279,159,279,171,264,167,365,165,344,160,322,117,255,97,280,86,188
중곡119안전센터,127.0862442255,37.5667567645,0,0,0,0,0,0,0,0,0,0,35,0,157,19,383,25,591,109,354,81,355,133,304,176,356,148,378,126,404,132,396,147,352,232,407,141,516,177,419,205,290,129,249,82,250,70,36,5
중곡1동사거리,127.07937716225001,37.562467513550004,116,407,12,105,0,0,0,0,241,39,253,93,392,180,931,304,1109,726,829,538,492,470,471,553,496,636,539,672,486,752,520,983,535,1066,609,1196,521,1347,589,1214,443,956,267,899,271,843,183,649
중곡1동주민센터입구,127.0783936092,37.560700361550005,39,294,16,64,0,0,0,0,193,73,217,261,221,418,494,767,622,993,528,613,375,429,376,450,410,446,443,512,349,530,324,678,281,735,442,758,482,1057,375,883,221,661,209,636,121,659,71,441
중곡2동주민센터앞,127.08100521935,37.5598619963,139,358,38,85,31,106,22,56,227,228,658,280,595,286,1181,663,993,980,828,627,768,478,781,498,855,582,832,619,810,802,748,920,688,932,798,1111,979,1212,676,1278,493,1008,367,925,398,1085,234,911
중곡3동주민센터앞,127.0827185071,37.568513774850004,84,283,5,27,0,0,0,0,380,44,651,112,1273,244,1893,305,2188,767,1556,388,1350,443,1227,461,1295,516,1241,588,1172,655,1078,824,1052,888,1327,862,1407,1039,1199,1077,753,805,607,799,459,772,275,550
중곡4동경로당입구앞,127.09412214515001,37.5591615807,0,0,0,0,0,0,0,0,0,0,0,0,118,12,97,45,97,21,74,28,53,56,39,34,35,48,61,49,37,79,25,84,26,100,39,111,41,156,21,142,15,134,12,113,6,74,0,0
중곡4동어린이집입구,127.09168615755,37.558600764649995,0,0,0,0,0,0,0,0,0,0,0,0,190,14,223,22,319,91,150,38,101,35,71,36,59,58,71,86,55,59,34,87,40,102,51,142,48,201,71,183,17,163,16,168,6,94,0,0
중곡4동파출소,127.0867703018,37.5654194455,0,5,0,0,0,0,0,0,0,0,4,0,6,89,11,284,5,498,13,276,3,173,6,138,0,191,0,158,3,175,1,163,5,174,2,198,0,150,2,139,6,106,2,72,2,51,0,52
중곡동성당,127.0824010859,37.5627654195,11,1,20,2,17,3,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중곡동성당앞,127.0829363287,37.5631682406,50,252,20,40,29,64,12,36,49,40,157,186,106,100,323,210,314,352,157,314,179,388,209,328,224,386,215,395,274,453,258,721,271,687,322,651,389,812,411,855,378,675,277,716,205,747,186,634
중곡동입구,127.08846557895001,37.5544978382,198,263,0,0,0,0,0,0,306,254,474,835,734,1238,1736,2138,2285,3288,1720,2904,1467,2391,1340,2315,1692,2324,1864,2257,1740,2358,1962,3003,2138,3501,2286,3238,3034,3782,2376,2920,1777,2278,1808,2052,1535,1957,683,958
중곡동입구삼거리,127.0858897545,37.554711277150005,311,889,44,351,43,119,50,155,617,507,1483,1847,1868,1377,4499,2047,6708,4412,3884,3935,2658,2868,2206,2932,2455,2944,2502,3137,2165,3103,2192,3773,2554,4750,2804,4817,3133,5905,2221,4225,1511,2973,1371,2798,1248,2527,653,1581
중곡보건지소,127.08702966154999,37.5597250336,8,5,0,0,0,0,0,0,0,0,16,21,317,188,844,311,867,713,615,516,517,492,359,484,401,520,544,554,449,595,426,710,399,700,433,739,538,862,408,786,328,627,206,519,150,450,76,106
중곡아파트,127.07753833219999,37.56609839025,135,479,132,282,48,163,69,87,284,101,583,398,499,372,1229,528,961,1035,738,365,588,352,527,378,603,385,587,459,732,579,573,656,647,782,815,933,766,1167,742,1181,630,793,422,818,317,985,179,644
중곡아파트.기점,127.0781637961,37.5668768426,0,0,0,0,0,0,0,0,0,0,29,10,42,17,65,83,126,177,81,96,68,128,82,164,93,150,79,259,76,162,89,214,94,299,119,308,51,209,51,185,48,211,38,191,20,108,0,17
중곡아파트.종점,127.0779156425,37.5663789768,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,92,3,87,0,70,0,67,0,60,2,52,0,67,0,64,2,58,1,89,0,94,4,143,0,138,1,86,0,111,0,125,0,29
중곡역.국립정신건강센터,127.08443522475,37.566137957449996,37,166,9,37,12,31,3,26,16,43,95,209,74,172,82,379,174,441,143,338,159,253,205,241,263,258,213,298,229,313,332,334,402,399,538,413,628,588,725,566,473,474,476,384,348,462,257,294
중곡역입구,127.08163159195,37.56650010915,74,272,1,22,0,0,0,0,337,43,589,107,705,235,1283,356,1263,853,1051,678,947,565,892,603,832,657,870,605,804,744,729,833,769,958,838,1014,932,1093,771,1089,560,774,380,709,356,687,132,383
중곡우체국앞,127.083971534,37.56137052805,3,2,0,0,0,0,0,0,0,0,10,6,192,115,571,131,743,483,478,415,340,375,226,316,271,384,310,427,224,452,294,545,220,583,322,563,306,718,244,619,157,428,184,385,85,279,49,65
중마초등학교.중곡제일골목시장앞,127.08084874425,37.5651057039,121,202,15,28,0,0,0,0,172,44,710,60,1115,186,1810,308,2324,728,1723,449,1560,562,1575,601,1729,628,1691,652,1742,690,1683,938,1608,1009,1735,1012,1789,1171,1581,924,1079,714,732,667,517,571,182,388
중앙상회앞,127.09488479685,37.56015839675,0,0,0,0,0,0,0,0,0,0,0,0,678,19,678,49,645,40,466,30,275,88,236,100,297,121,223,111,218,150,122,164,184,226,177,304,131,316,72,432,47,282,73,298,24,179,0,0
지영슈퍼,127.0922522082,37.551796613899995,0,0,0,0,0,0,0,0,0,0,0,0,395,148,607,227,496,336,560,366,429,328,486,352,381,379,442,365,369,356,458,542,372,767,317,550,284,625,229,491,168,446,133,375,67,349,28,210
청구아파트앞,127.09648770864999,37.5428250793,0,0,0,0,0,0,0,0,0,0,0,0,19,9,245,56,215,208,148,109,103,49,71,69,65,88,72,83,78,116,80,146,103,171,109,131,116,176,74,172,33,85,27,82,22,100,6,39
테크노마트.광진문화원,127.0961011535,37.5370205329,0,0,0,0,0,0,0,0,0,0,0,0,38,50,388,125,426,126,372,172,358,251,406,206,571,190,685,203,685,206,852,227,919,224,1249,193,2028,161,1838,151,1088,82,1002,47,889,31,472,9
테크노마트앞.강변역,127.0937790565,37.536884767100005,268,78,0,0,0,0,0,0,68,81,572,1060,990,2371,2077,3578,2770,4954,2359,4770,2452,3352,2738,3065,3073,2997,3304,2966,3615,2876,4281,3046,5036,3814,5573,3378,7951,3932,6372,2573,5036,1879,4434,1621,4009,1284,1974,583
프라임아파트앞,127.0970323661,37.5378379672,0,0,0,0,0,0,0,0,0,0,0,0,2,3,106,8,116,18,81,16,61,13,64,20,63,34,56,37,44,41,80,44,64,52,63,51,79,110,37,153,25,63,11,50,9,52,4,18
한강호텔입구,127.10938372605,37.548364585650006,0,0,0,0,0,0,0,0,0,0,1,1,52,32,197,83,175,107,81,95,39,68,41,52,34,49,47,72,31,58,26,76,41,107,67,117,16,149,11,226,16,88,5,87,11,88,2,47
한전삼거리,127.0979921532,37.5453419526,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,67,26,1080,6,118,9,79,24,64,55,49,50,66,67,58,190,63,103,74,52,44,24,39,17,42,4,21,0,23,0,36,2,25
한창주택,127.08912723345,37.5336649101,0,0,0,0,0,0,0,0,0,0,0,0,83,81,342,194,722,647,327,279,185,125,172,184,198,194,190,241,221,247,300,299,350,348,177,466,140,534,84,498,75,429,44,392,46,396,12,246
해오름공원입구,127.09124363215,37.55631908785,0,0,0,0,0,0,0,0,0,0,12,1,355,95,967,141,937,193,595,205,444,199,423,252,391,302,354,299,327,325,350,541,383,677,348,507,324,687,329,759,147,489,153,461,79,451,16,259
행운슈퍼앞,127.0870280636,37.53301002625,0,0,0,0,0,0,0,0,0,0,0,0,332,74,831,109,989,508,863,253,461,188,353,179,335,239,392,270,322,284,284,398,400,413,267,525,319,703,261,603,160,487,124,448,103,459,39,323
현대3.5차아파트,127.1003518538,37.5407790748,0,0,0,0,0,0,0,0,0,0,0,0,14,11,110,83,137,112,106,33,91,43,75,74,75,154,66,132,75,131,75,163,67,241,55,263,54,357,47,385,20,240,18,251,16,227,3,139
현대3차아파트,126.9922733469,37.5283815938,0,0,0,0,0,0,0,0,0,0,0,0,345,39,919,94,1074,101,501,63,265,53,183,66,218,79,216,105,219,124,158,125,213,144,201,149,108,193,95,132,48,88,43,105,25,74,8,18
현대아파트앞,127.00483208112,37.5751262113,64,15,0,0,0,0,0,0,0,0,220,36,421,106,804,141,1308,472,794,500,535,214,422,205,475,267,575,387,512,343,541,312,557,367,639,451,933,753,576,402,482,291,649,282,788,262,321,98
화양동현대아파트,127.0652401586,37.5439827587,0,0,0,0,0,0,0,0,0,0,0,20,1,39,37,98,18,296,18,161,23,118,18,58,28,83,14,115,9,76,21,75,8,77,17,114,24,120,23,113,18,63,8,54,15,101,12,63
화양사거리,127.0674785575,37.547612805233335,674,805,149,207,0,0,0,0,151,143,585,205,969,799,1931,2016,3389,3651,2111,2840,1386,1612,1293,1281,1427,1361,1575,1641,1736,1718,1601,1959,1617,1925,2693,1854,3802,2034,2603,2403,1581,1711,1654,1674,1345,1798,934,1348
